angle,radius
0,141
10,138
20,112
30,84
40,67
50,57
60,51
70,48
80,46
90,45
100,46
110,48
120,52
130,59
140,71
150,91
160,131
170,156
180,155
190,156
200,131
210,91
220,71
230,59
240,52
250,48
260,46
270,45
280,46
290,48
300,51
310,57
320,67
330,84
340,112
350,138
360,141
